Time,Type,X,Y,Keys,Finger
14:32:02.080,tap,[493],[186],[n],Right Middle
14:32:02.439,tap,[69],[118],[a],Left Ring
14:32:03.664,swipe,"[331, 389]","[49, 55]","[t, i]",Left Index
14:32:04.181,swipe,"[659, 603]","[34, 74]","[o, n]",Right Middle
14:32:06.266,tap,[498],[179],[n],Right Middle
14:32:06.383,tap,[54],[109],[a],Left Ring
14:32:06.699,tap,[344],[48],[t],Right Index
14:32:06.816,tap,[584],[58],[i],Right Index
14:32:08.334,tap,[472],[189],[n],Right Index
14:32:09.343,swipe,"[362, 387]","[44, 41]","[t, i]",Right Index
14:32:10.152,swipe,"[649, 596]","[36, 84]","[o, n]",Right Middle
14:32:12.169,tap,[486],[195],[n],Right Middle
14:32:12.328,tap,[68],[112],[a],Left Ring
14:32:13.228,swipe,"[341, 401]","[33, 35]","[t, i]",Right Index
14:32:13.979,swipe,"[677, 610]","[24, 82]","[o, n]",Right Middle
14:32:15.946,tap,[495],[194],[n],Right Middle
14:32:16.097,tap,[50],[113],[a],Left Ring
14:32:17.205,swipe,"[339, 375]","[35, 36]","[t, i]",Right Index
14:32:17.973,swipe,"[682, 630]","[29, 69]","[o, n]",Right Index
14:32:23.734,tap,[465],[125],[h],Right Index
14:32:25.510,tap,[181],[59],[e],Left Middle
14:32:25.927,tap,[241],[169],[c],Left Middle
14:32:26.194,tap,[63],[109],[a],Left Ring
14:32:26.961,tap,[688],[104],[l],Right Middle
14:32:27.119,tap,[689],[99],[l],Right Middle
14:32:27.661,tap,[183],[54],[e],Left Middle
14:32:29.362,tap,[255],[167],[c],Left Middle
14:32:29.579,tap,[63],[112],[a],Left Ring
14:32:30.155,tap,[713],[104],[l],Right Middle
14:32:30.521,tap,[178],[41],[e],Left Middle
14:32:31.914,tap,[240],[172],[c],Left Middle
14:32:32.114,tap,[63],[126],[a],Left Ring
14:32:32.231,tap,[691],[112],[l],Right Middle
14:32:32.372,tap,[689],[111],[l],Right Middle
